"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q39","Q86","Q46","Q129_1","Q129_2","Q129_3","Q129_4","NP_H_1","NP_C_2","Q40","Q41","Q71","Q47","Q48","Q243_1","Q243_2","Q243_3","Q243_4","Q244","Q245","Q246","Q247","Q249","Q56","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","Q38","Q42","Q44","Q46.0","Q48.0","Q50","Q41.0","Q2","Q3","Q4","Q79","Q6","Q50.0","DO_BR_FL_6yTYxOmURd7ewO9","DO_BL_simulation","DO_BL_priming","DO_BL_Choices","LocationLatitude","LocationLongitude","LocationAccuracy","hot_cold","condition","A4rev","A6rev","A10rev","choices"
"R_2WAaIEn8cUN0trc","Default Response Set","Anonymous","","","192.67.88.5","0",2017-08-24 12:14:43,2017-08-24 12:17:37,1,"818793",1,1,1,0,0,30.51,0,NA,NA,NA,1,"I would feel so much awe. I would feel completely small and have gained a new respect for this planet. It would be so beautiful to be here with someone you love.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,9,8,1,6,1,9,9,9,1,1,4,6,3,5,6,9,1,2,30,73,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|10|7|5|6|4|3|8|2|1|9","31.145095825195","-99.347801208496","-1",1,1,9,9,9,8.8
"R_VWIycSrcHITKEed","Default Response Set","Anonymous","","","173.216.96.224","0",2017-08-24 12:13:45,2017-08-24 12:17:42,1,"808701",1,1,1,0,0,30.605,0,1,NA,NA,NA,"It would be dry and hot and dusty and witha warm wind blowing and I would be searching for shelter and water to drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,9,1,1,9,9,1,9,1,1,5,6,9,4,9,9,1,1,58,74,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|5|8|7|9|4|2|10|6|1|3","35.788101196289","-91.645797729492","-1",2,1,9,1,9,5.8
"R_1CmdVszAkVBMDGt","Default Response Set","Anonymous","","","73.153.253.90","0",2017-08-24 12:15:11,2017-08-24 12:17:56,1,"908125",1,1,1,0,0,30.467,0,1,NA,NA,NA,"I want some water.  Maybe there is some water in those mountains.  There must have been water before because plants grew.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,9,6,4,2,9,9,1,1,1,6,9,6,2,9,9,1,2,39,70,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|5|8|9|1|3|2|4|7|10|6","38.831207275391","-104.80819702148","-1",2,1,4,8,9,7.8
"R_3jZOrwvlJ7tTgZj","Default Response Set","Anonymous","","","68.107.115.3","0",2017-08-24 12:13:58,2017-08-24 12:18:04,1,"806000",1,1,1,0,0,30.499,0,NA,NA,1,NA,"I felt the heat from the molten lava on the front of my body. My face was warm, hot even, like standing near a very intense campfire. My back felt cold though in the night sky. The illumination from the lava obscured the stars in the night sky one would nrmally see. I feel a sense of being connected with nature. I wonder how ancient peoples would have reacted to this. Did they think going into the abyss of lava was a hell of some sort?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,6,3,3,1,5,4,8,6,4,1,1,4,2,7,5,6,8,1,1,31,68,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|8|7|2|3|4|1|6|10|5|9","32.74479675293","-117.1701965332","-1",2,1,9,6,9,6.6
"R_27QcmaAJnvmduZF","Default Response Set","Anonymous","","","104.4.233.225","0",2017-08-24 12:13:00,2017-08-24 12:18:05,1,"880967",1,1,1,0,0,31.671,0,NA,1,NA,NA,"I imagined I would be very cold if I were in the environment in the photo. I imagined being bundled up in warm clothes and breathing in the fresh air. I think it was a beautiful setting and I would be so happy to be there! I would look around and the snowcovered trees and smile at the beauty around me.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,3,9,5,1,2,9,6,1,2,1,7,5,3,5,6,9,1,2,43,68,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|3|6|9|5|4|8|2|10|1|7","33.912902832031","-118.34390258789","-1",1,1,5,8,8,7.2
"R_1l3jZ0cwn2tLTXj","Default Response Set","Anonymous","","","198.72.247.247","0",2017-08-24 12:15:42,2017-08-24 12:18:08,1,"817356",1,1,1,0,0,30.726,0,1,NA,NA,NA,"I think it would be very dry.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,4,1,6,9,9,5,1,1,4,6,4,9,5,5,1,2,22,75,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|6|7|2|10|5|1|8|3|9|4","34.085296630859","-117.96089935303","-1",2,1,6,4,9,5.8
"R_2z5wUjl54qNtmyK","Default Response Set","Anonymous","","","174.134.218.130","0",2017-08-24 12:14:15,2017-08-24 12:18:12,1,"814844",1,1,1,0,0,30.527,0,1,NA,NA,NA,"i imagined walking, my mouth dry, heading  toward the mountains in the distance. Telling myself ""maybe there's a stream there, a gully, anything"" then i look around, notice the weather looks grim. ""i hope it doesn't start blowing dust, but then again rain rain would be really nice right about now.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,8,9,3,3,9,5,9,1,1,1,1,5,6,8,6,4,9,1,1,26,81,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|1|5|9|3|10|8|7|2|6|4","35.5498046875","-118.91709899902","-1",2,1,7,5,9,5
"R_10TN7GiHT4wjzqX","Default Response Set","Anonymous","","","70.164.254.34","0",2017-08-24 12:13:42,2017-08-24 12:18:14,1,"914294",1,1,1,28.251,28.251,30.456,1,NA,1,NA,NA,"I was on an early evening run and it was beautiful outside. I was about 3 miles into a 7 mile run and it would be getting dark out soon. I loved running in the evening since I would sometimes catch glimpses of deer and other wildlife.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,8,7,6,7,8,7,3,7,2,1,7,6,3,4,7,8,1,1,41,74,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|7|1|4|3|9|8|5|2|10|6","38.894302368164","-77.431098937988","-1",1,1,4,2,8,4.8
"R_2VdKgBEHtRfjuu7","Default Response Set","Anonymous","","","216.228.183.181","0",2017-08-24 12:16:11,2017-08-24 12:18:17,1,"924906",1,1,1,0,0,30.438,0,NA,NA,1,NA,"It would be very amazing but at the same time it would be very hot and I feel like I would be overheating.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,5,7,9,6,4,9,1,4,9,1,5,7,4,6,5,9,1,2,26,78,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|4|2|9|6|1|3|7|5|8|10","43.981704711914","-121.27220153809","-1",2,1,1,6,1,3.2
"R_1rNxyYWndfqJUCU","Default Response Set","Anonymous","","","107.128.92.7","0",2017-08-24 12:14:02,2017-08-24 12:18:27,1,"833441",1,1,1,0,0,30.585,0,NA,NA,1,NA,"I would think that it would be hot, and scary. I would be trying my hardest to stay away from the edges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,1,1,9,5,1,2,1,1,5,5,1,9,1,7,1,2,35,70,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|1|7|9|2|3|8|10|4|5|6","33.992202758789","-84.855003356934","-1",2,1,9,1,9,4.2
"R_3ir0Gej0bEqTZyg","Default Response Set","Anonymous","","","68.103.217.166","0",2017-08-24 12:14:21,2017-08-24 12:18:31,1,"883452",1,1,1,0,0,31.522,0,NA,1,NA,NA,"I imagined my self bundled up in a coat and scarf fixing to walk across the bridge. I could imagine it being very cold and seeing my breath and as I exhaled.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,1,9,9,9,9,1,9,1,1,7,9,1,1,9,9,1,2,39,76,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|2|3|4|7|5|6|8|9|10|1","37.072998046875","-95.61840057373","-1",1,1,1,1,9,2.6
"R_1IrRSUUpzVvrPJM","Default Response Set","Anonymous","","","162.95.148.251","0",2017-08-24 12:13:39,2017-08-24 12:18:38,1,"838555",1,1,1,0,0,30.482,0,NA,NA,1,NA,"It would be extremely hot and steamy as it's hot lava.  However, being that close to something so interesting would be a very neat experience.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,1,1,9,1,1,1,1,1,5,9,9,7,3,9,1,2,28,72,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|9|1|10|2|4|8|3|7|6|5","39.772399902344","-86.160003662109","-1",2,1,9,1,9,4.2
"R_2sRSMWWdIUUeEd6","Default Response Set","Anonymous","","","73.182.224.118","0",2017-08-24 12:16:24,2017-08-24 12:18:41,1,"980337",1,1,1,0,0,30.461,0,NA,NA,NA,1,"I would be terrified to be there. I would feel cold and lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,9,9,1,9,1,9,9,9,1,1,6,1,1,1,9,9,1,1,26,76,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|1|8|10|3|9|6|5|7|2|4","41.30940246582","-72.924003601074","-1",1,1,9,9,9,9
"R_RCv6kbAnNE1ZX69","Default Response Set","Anonymous","","","205.185.192.4","0",2017-08-24 12:13:59,2017-08-24 12:18:42,1,"870863",1,1,1,0,0,31.84,0,NA,1,NA,NA,"Looks like I booked a cabin outside of Bend Oregon so I could visit with family for Christmas. Being from the southwest I'm not really used to the cold, but thankfully I brought my heavy coat. I will soak up the atmosphere and enjoy this winter wonderland something I'm not used to.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,3,6,5,2,1,9,9,6,5,1,4,6,7,2,8,9,1,1,41,75,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|7|9|10|8|2|5|3|4|1|6","33.50830078125","-112.0717010498","-1",1,1,5,9,5,6.8
"R_3hzRSttmnaOjX0S","Default Response Set","Anonymous","","","208.71.235.129","0",2017-08-24 12:15:47,2017-08-24 12:18:49,1,"946242",1,1,1,0,0,30.542,0,NA,NA,NA,1,"It would be awe-inspiring and majestic to be in such a situation looking at such a beautiful sight.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,2,4,1,6,1,9,3,1,1,1,6,8,6,2,8,8,1,1,21,70,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|8|9|5|6|2|7|10|1|3|4","34.280395507812","-85.182098388672","-1",1,1,9,9,9,6.8
"R_1Kd3ohZJynsFMas","Default Response Set","Anonymous","","","70.112.174.247","0",2017-08-24 12:16:05,2017-08-24 12:18:50,1,"827252",1,1,1,0,0,30.895,0,NA,NA,1,NA,"I would think it would be really hot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,6,7,6,6,3,3,8,8,5,3,1,4,7,6,4,5,7,1,1,33,99,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|3|9|6|7|4|10|1|2|5|8","30.365997314453","-97.643699645996","-1",2,1,4,7,7,6.4
"R_3lEaoAgpzfbF9bV","Default Response Set","Anonymous","","","104.172.4.156","0",2017-08-24 12:14:35,2017-08-24 12:19:06,1,"827975",1,1,1,18.259,30.145,30.487,4,NA,NA,1,NA,"It was very scary. I felt like I was in Hell.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,2,7,6,2,2,8,8,2,2,1,3,6,7,4,3,9,1,2,26,60,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|1|10|3|4|7|5|8|6|2|9","34.146301269531","-118.42929840088","-1",2,1,4,8,8,7
"R_2qmlB5CDGC3Ff9A","Default Response Set","Anonymous","","","173.28.59.235","0",2017-08-24 12:17:00,2017-08-24 12:19:36,1,"804368",1,1,1,25.633,25.633,30.986,1,NA,1,NA,NA,"It would be cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,2,1,1,1,9,2,1,1,1,1,1,1,9,1,9,1,1,26,69,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|1|5|10|4|2|6|8|3|9|7","41.913696289062","-90.271102905273","-1",1,1,9,9,9,6.2
"R_2pWew5q47Q8kceI","Default Response Set","Anonymous","","","75.140.7.92","0",2017-08-24 12:14:56,2017-08-24 12:19:37,1,"860728",1,1,1,0,0,30.435,0,NA,1,NA,NA,"I could see myself staring in aw at the beauty of all of this first then I'd actually run into the deep portion of the snow, frolic and play, build a snowman and just have a great time. I'd turn back into my 8 year old self and let all my worries go.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,1,5,9,9,1,8,1,5,1,1,9,2,1,8,3,9,1,2,48,70,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|7|10|9|8|2|1|4|6|5|3","33.932907104492","-117.4907989502","-1",1,1,1,9,9,5
"R_12AaJgRCk1aGZ5H","Default Response Set","Anonymous","","","198.239.77.117","0",2017-08-24 12:17:11,2017-08-24 12:19:38,1,"902501",1,1,1,19.649,19.649,30.469,1,NA,NA,NA,1,"I would be thrilled to be in that environment. The crystal bluer water is beautiful.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,3,3,7,2,7,9,1,3,1,1,6,3,3,5,6,9,1,1,24,71,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|10|8|7|6|1|3|9|2|4|5","47.158294677734","-122.56399536133","-1",1,1,3,3,9,3.8
"R_cZrUkfNM1Aj2ODT","Default Response Set","Anonymous","","","104.60.41.222","0",2017-08-24 12:15:10,2017-08-24 12:19:43,1,"836206",1,1,1,0,0,30.725,0,NA,NA,1,NA,"it appears to be a volcano opening? In that case, I would be amazed. It would be an impressive once in a lifetime sight to see. But i would also be afraid, very afraid. I would want to look quickly, maybe take pictures for a better look at a safer time an place, and run away.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,1,1,2,9,9,1,6,1,1,7,3,1,3,7,9,1,2,40,70,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|1|3|10|6|5|4|2|8|7|9","36.919906616211","-84.167900085449","-1",2,1,9,1,9,4.2
"R_1cSQwKSyFkrsXCM","Default Response Set","Anonymous","","","71.213.142.174","0",2017-08-24 12:16:44,2017-08-24 12:19:45,1,"916830",1,1,1,0,0,41.162,0,NA,1,NA,NA,"It would be cold-- I imagine I could see my breath-- but peaceful. I could hear my boots cruching in the snow. Very serene.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,5,7,3,3,3,7,7,3,1,1,3,7,7,4,6,9,1,2,26,73,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|8|4|5|2|9|3|6|10|1|7","40.680404663086","-82.029502868652","-1",1,1,7,7,9,7.4
"R_10AYQkAmO1jLUj3","Default Response Set","Anonymous","","","47.33.193.124","0",2017-08-24 12:17:10,2017-08-24 12:20:03,1,"892615",1,1,1,18.581,18.581,30.423,1,NA,NA,NA,1,"It looks really pretty but I would be afraid of falling into the water and getting wet. It is definitely really cold there and I am not sure I would enjoy freezing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,1,5,1,1,1,9,1,5,1,1,6,6,3,6,4,9,1,2,27,80,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|5|7|2|1|4|6|8|10|9|3","43.044296264648","-83.519203186035","-1",1,1,9,9,9,6.6
"R_yxx1LDCwgTK0a0F","Default Response Set","Anonymous","","","74.196.54.173","0",2017-08-24 12:15:20,2017-08-24 12:20:04,1,"872693",1,1,1,2.941,2.941,31.121,1,NA,1,NA,NA,"I am driving down an icy road about to cross a bride. This is a little scary. It is also a beautiful scene. However, I would be more concerned about losing control of the car.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,6,5,5,3,4,3,3,8,4,4,1,5,3,3,3,7,8,1,1,54,73,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|10|4|5|8|1|7|6|3|2|9","35.580505371094","-77.012702941895","-1",1,1,7,7,6,6.6
"R_10YGnKMmVXOagBz","Default Response Set","Anonymous","","","73.72.183.28","0",2017-08-24 12:13:44,2017-08-24 12:20:04,1,"863968",1,1,1,0,0,30.43,0,1,NA,NA,NA,"I personally would be SOL. It looks like a very dangerous place to be littered with death. Hopefully I came prepared with provisions, but my first act would be to turn around and see what's behind me, because what's in front looks very daunting unless thee's a helicopter landing shortly to pick me up!  There's some beauty in the ""scenery,"" but the best parts are a long way away, and surviving to get here will be very difficult if not impossible for me, and perhaps even for seasoned adventurers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,1,1,1,9,3,1,9,1,1,5,5,1,1,6,7,1,1,63,76,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|10|7|3|5|4|2|9|8|1|6","41.759002685547","-88.261497497559","-1",2,1,9,1,9,4.2
"R_1IyLIx8shE3EpNj","Default Response Set","Anonymous","","","216.165.126.103","0",2017-08-24 12:16:43,2017-08-24 12:20:17,1,"932790",1,1,1,0,0,30.662,0,NA,1,NA,NA,"It's cold and I'm wearing a winter coat, hat and gloves. I'm walking in boots. The snow is crunching. It's quiet because few people are out, but also the snow dampens any sound. I can see my breath. I'm happy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,9,9,1,1,2,9,3,2,3,1,8,3,3,2,8,9,1,1,35,73,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|7|4|5|3|9|10|1|6|2|8","40.731704711914","-73.988502502441","-1",1,1,9,8,7,7.2
"R_2Eb3jdD6xY2MulQ","Default Response Set","Anonymous","","","50.234.113.234","0",2017-08-24 12:15:08,2017-08-24 12:20:37,1,"906483",1,1,1,0,0,30.542,0,NA,NA,NA,1,"It would be freezing cold and I would be wearing the thickest coat you ever saw with snow boots, gloves and a hat.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,1,1,1,9,1,9,1,1,1,5,5,7,5,8,1,2,30,70,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|9|7|5|4|10|6|2|3|8|1","39.768402099609","-86.157997131348","-1",1,1,9,9,9,5.8
"R_2y2BB91h3cNBskG","Default Response Set","Anonymous","","","98.127.166.100","0",2017-08-24 12:15:43,2017-08-24 12:20:45,1,"826202",1,1,1,0,0,30.446,0,NA,NA,NA,1,"I would be dressed up warm, because it would be cold and you can see your breath. I'd be standing on land looking out at the water and ice. It would be relaxing and peaceful. I'd have a good camera with me because it is beautiful.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,8,2,3,1,3,2,7,9,1,2,1,6,7,5,4,6,8,1,2,36,73,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|10|1|4|6|8|7|2|3|9|5","48.566604614258","-109.73889923096","-1",1,1,9,8,8,7.4
"R_1TeZobePYf0fg7T","Default Response Set","Anonymous","","","73.81.151.252","0",2017-08-24 12:14:54,2017-08-24 12:20:48,1,"913257",1,1,1,8.49,8.49,30.459,1,NA,NA,NA,1,"I think it would be neat being in this environment though I feel it would be extremely cold. I feel it would be a once in a lifetime experience and be happy to see this with my naked eyes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,3,1,6,4,6,5,5,7,4,1,5,5,4,5,6,6,1,2,29,76,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|2|3|5|4|9|8|7|6|10|1","40.012405395508","-75.147102355957","-1",1,1,4,4,6,4
"R_6AssHmlwfbslsqt","Default Response Set","Anonymous","","","75.142.170.224","0",2017-08-24 12:17:28,2017-08-24 12:20:48,1,"967471",1,1,1,2.884,13.489,31.248,2,NA,NA,1,NA,"I saw a volcano.  It was hot and steamy and miserable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,3,3,2,5,5,8,8,1,4,1,6,6,5,7,6,9,1,1,27,74,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|1|9|3|5|2|7|8|6|10|4","32.931198120117","-96.459701538086","-1",2,1,8,5,6,6
"R_1M0QarCNGZW9rPM","Default Response Set","Anonymous","","","69.14.192.101","0",2017-08-24 12:13:42,2017-08-24 12:21:03,1,"835889",1,1,1,9.877,11.994,32.146,2,NA,1,NA,NA,"It looks like a quiet, calm and peaceful environment. I would be happy and at peace with myself there. It looks like a novel spot as I don't see places like that very often where I live.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,7,3,1,2,7,4,7,1,9,8,1,4,7,4,2,9,9,1,1,30,75,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|5|3|2|4|7|1|10|6|9|8","42.265396118164","-83.208000183105","-1",1,1,8,6,2,3.6
"R_3fvqg13f11enET5","Default Response Set","Anonymous","","","66.191.215.123","0",2017-08-24 12:17:02,2017-08-24 12:21:03,1,"917966",1,1,1,0,0,31.234,0,1,NA,NA,NA,"Dry, windy, and most thirsty dessert like atmosphere.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,1,6,4,9,7,1,6,3,1,7,6,5,4,7,9,1,1,39,74,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|9|6|7|10|3|2|5|8|1|4","34.766403198242","-82.220199584961","-1",2,1,4,1,7,2.8
