"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q37","Q39","Q22","Q27","Q24_1","Q24_2","Q24_3","Q24_4","h_n","F_n","Q35","Q27.0","Q28","Q29","Q30","Q31","Q32","Q73","Q51","tired","hungry","thirsty","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q28_1","Q29_1","Q35.0","Q38","DO_BL_simulation","DO_BL_food_size","LocationLatitude","LocationLongitude","LocationAccuracy","condition","choice_size"
"R_ugL4YOnDCnslZ8R","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 14:02:40,2016-11-04 14:12:43,1,"11",1,1,1,29.422,29.422,70.501,1,"I imagine a hamburguer, I feel with a headache, tired, im thinking in fast food","",1,2,1,4,3,2,4,1,7,8,8,8,1,1,29,2,NA,NA,1,NA,NA,NA,2,8,1,1,"Q22|Q27|Q24|h_n","Q35|Q27|Q31|Q30|Q32|Q29|Q28","41.780395507812","-87.602699279785","-1",1,2.33333333333333
"R_6idaSAeapWYhsUp","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 14:14:01,2016-11-04 14:21:54,1,"12",1,1,1,6.728,68.906,124.712,5,"When I am very hungry I get grouchy, irritable, sometimes tired. I would be thinking about where I could get some food, primarily protein to help me get through.","",1,3,2,1,3,1,3,1,5,5,5,6,1,2,64,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q32|Q27|Q29|Q31|Q28","41.780395507812","-87.602699279785","-1",1,2
"R_1DOODKlRF9mm4qr","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 14:36:03,2016-11-04 15:32:17,1,"14",1,1,1,12.733,12.733,83.376,1,"","bloated, tired and very warm or cold filled with shame.
",1,1,1,1,2,4,1,1,6,7,9,2,1,2,62,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q27|Q28|Q31|Q30|Q32","41.780395507812","-87.602699279785","-1",2,1
"R_1pmaEWJ7fANQDS8","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 15:32:27,2016-11-04 15:36:45,1,"15",1,1,1,1.691,1.691,66.189,1,"I would be thinking about fried chicken. My stomach might grumble but I'd be more focused on how soon I'd be getting food, where I would be getting food from, and who I would be with. I would try to find the food as soon as possible.","",1,4,2,4,3,2,3,1,5,6,6,3,1,2,20,1,NA,NA,NA,NA,NA,1,6,6,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q29|Q27|Q30|Q28|Q31","41.780395507812","-87.602699279785","-1",1,3.33333333333333
"R_erPSJhAj70McXTP","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 15:37:41,2016-11-04 15:44:34,1,"16",1,1,1,17.591,180.567,181.014,2,"I am very hungry right now. I am thinking about where I should go to get food, how to get there, and how long it will be till I'm able to eat. It doesn't affect my behavior much, although I am a bit impatient and tired. My stomach is a bit painful, and I m starting to get a bit of a headache.","",1,1,3,2,1,1,1,1,5,7,7,3,1,1,23,1,NA,NA,NA,1,NA,NA,8,8,1,1,"Q22|Q27|Q24|h_n","Q35|Q28|Q29|Q27|Q32|Q31|Q30","41.780395507812","-87.602699279785","-1",1,2
"R_2us5Gmn2gZs2Q8o","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-04 15:52:06,2016-11-04 15:58:39,1,"17",1,1,1,29.07,47.664,137.461,2,"","bloated.  Slightly uncomfortable.  I am regretting consuming that last bite that put me over the limit.  I am concerned about the idea that I might have to use their restroom and it would not be to pee.  This concerns me because of potential odors I wouldleave in their bathroom.  I dont want to be accused of bombing it.  I feel fat.  I feel out of control like if I do not stop doing this it will snowball.",1,1,2,1,3,1,2,1,6,3,2,3,1,1,35,1,NA,NA,1,NA,NA,NA,4,6,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q29|Q31|Q28|Q30|Q27","41.780395507812","-87.602699279785","-1",2,1.33333333333333
"R_3nTt1sGZCtNfkpD","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 11:32:21,2016-11-05 11:37:11,1,"17",1,1,1,3.469,128.007,151.932,10,"I tend to get angry when I'm hungry. My conscious thoughts tend to shut down, in favor of thoughts like those cartoons where people start seeing their friends as four course meals.","",1,4,4,4,3,4,3,1,7,5,8,7,1,1,17,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q28|Q30|Q29|Q32|Q27","41.780395507812","-87.602699279785","-1",1,4
"R_XSvAQaxNwUfs7Ul","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 11:50:14,2016-11-05 11:55:51,1,"18",1,1,1,14.689,65.097,112.888,5,"","I am sitting taking this survey and I am feeling warm at the moment.  Wondering what my son and husband are off doing while I am typing.",1,2,2,2,3,3,3,1,6,3,3,6,1,2,42,1,NA,NA,1,NA,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q29|Q32|Q31|Q28|Q30","41.780395507812","-87.602699279785","-1",2,2
"R_2VgX5bHGN7K25xq","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 11:56:38,2016-11-05 12:09:10,1,"19",1,1,1,16.108,16.108,122.658,1,"","After having a large meal I would be thinking about where I can lay down to relax while my body digests the food. It would be difficult to move and do any kind of activity. I would be very sluggish and lazy.",1,3,4,3,2,3,3,1,6,8,8,7,1,1,19,1,NA,NA,1,NA,NA,NA,4,12,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q28|Q32|Q29|Q30|Q31","41.780395507812","-87.602699279785","-1",2,3.33333333333333
"R_3QReWsCLn7nJ29W","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 12:09:56,2016-11-05 12:17:32,1,"20",1,1,1,16.191,163.091,186.872,7,"Constant distraction from thinking about other things than food. Feeling some sort of mental pain, with a strong motivation to relieve this pain by eating. Being easily irritated and annoyed. Being in a general bad mood. Self regulatory ability would be geatly reduced.","",1,2,3,3,3,4,4,1,6,3,3,5,1,1,24,2,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q31|Q28|Q27|Q32|Q29","41.780395507812","-87.602699279785","-1",1,2.66666666666667
"R_WdmKEcPayIwtujD","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 12:20:27,2016-11-05 12:28:40,1,"21",1,1,1,6.981,6.981,124.542,1,"I would be thinking about some of the closest places I could find food. My body would feel tired, with stomach cramps and rumbling noises. my mind would be distracted. I would most likely be cranky and annoyed. I would be short tempered and constantly thiking of food.","",1,1,3,3,1,1,3,1,5,7,6,9,1,2,25,2,NA,NA,1,NA,NA,NA,2,18,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q29|Q27|Q32|Q30|Q28","41.780395507812","-87.602699279785","-1",1,2.33333333333333
"R_Tvy9m7nMcheSWGJ","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 12:29:49,2016-11-05 12:34:56,1,"22",1,1,1,11.176,11.176,79.914,1,"","Heavy and kind of fat. I feel expanded and lethargic but completely satisfied and content. At the end, I feel thankful.",1,1,2,2,3,4,3,1,5,3,6,7,1,1,24,1,NA,NA,1,NA,NA,NA,3,3,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q28|Q31|Q29|Q30|Q27","41.780395507812","-87.602699279785","-1",2,1.66666666666667
"R_2Sq6zbde2495b2q","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 12:36:50,2016-11-05 12:40:05,1,"23",1,1,1,3.879,3.879,62.458,1,"","If I were very full, I would be sitting down--standing would take too much effort. My pants would be unbuttoned. I would be sitting lazily--maybe flipping through netlix or something. I would probably be yawning, and fairly low energy.",1,1,1,1,3,4,4,1,6,6,2,6,1,2,23,1,NA,NA,NA,1,NA,NA,1,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q30|Q28|Q27|Q32|Q31|Q29","41.780395507812","-87.602699279785","-1",2,1
"R_1d3MEW6xtwtGufi","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 12:40:20,2016-11-05 12:50:09,1,"24",1,1,1,7.804,7.804,66.115,1,"my body would be feeling unhappy i would be grumpy and tired i would be speaking in short sentises and","",1,4,4,2,2,2,3,1,9,5,7,6,1,2,20,1,NA,NA,NA,1,NA,NA,0,0,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q31|Q32|Q29|Q27|Q28","41.780395507812","-87.602699279785","-1",1,3.33333333333333
"R_2v7JOofho2vNmYu","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 12:50:41,2016-11-05 12:55:49,1,"25",1,1,1,1.623,1.623,84.413,1,"I'd be thinking about specific foods that I want to eat. I would be thinking about the bad feeling I'm getting in my stomach because it wants me to eat something. I'd have less energy. I would be tired and more irritable. My body would feel like moving les.","",1,4,2,4,1,1,4,1,3,6,7,7,1,1,21,1,NA,NA,NA,1,NA,NA,6,14,1,1,"Q22|Q27|Q24|h_n","Q35|Q28|Q30|Q31|Q27|Q29|Q32","41.780395507812","-87.602699279785","-1",1,3.33333333333333
"R_2czlMlsoMX5OnBt","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 12:56:02,2016-11-05 12:59:41,1,"26",1,1,1,16.144,16.144,93.595,1,"","I feel uncomfortable and don't want to move very much.  Feeling a little guilty or mad at myself for eating too much.  My body would feel tight and heavy.  I would feel sleepy and groggy and would maybe be less engaged than usual and maybe even a little tsty.",1,3,2,3,3,3,3,1,5,6,7,7,1,2,21,1,NA,NA,NA,1,NA,NA,6,14,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q28|Q29|Q30|Q31|Q32","41.780395507812","-87.602699279785","-1",2,2.66666666666667
"R_tPBHHjZCk8ktI1b","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:00:35,2016-11-05 13:04:33,1,"27",1,1,1,12.137,55.003,62.169,2,"I would thinking about different types of food. Such as pizza, ice cream, burgers and etc. Body will feel weak due to hunger. I would act annoyed","",1,1,2,1,1,3,1,1,5,3,3,7,1,1,26,1,NA,1,NA,NA,NA,NA,1,1,1,1,"Q22|Q27|Q24|h_n","Q35|Q29|Q32|Q28|Q30|Q27|Q31","41.780395507812","-87.602699279785","-1",1,1.33333333333333
"R_1n3zcPsKlbbIZn9","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:05:02,2016-11-05 13:08:59,1,"28",1,1,1,8.872,8.872,76.381,1,"","I would feel like my stomach was very heavy and bloated. Would probably feel like I need a cigarette, for some reason that helps the food go down. I would probably feel very sluggish and would feel like sleeping",1,4,3,1,3,3,4,1,6,5,2,5,1,1,27,1,NA,NA,1,NA,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q30|Q28|Q32|Q31|Q27|Q29","41.780395507812","-87.602699279785","-1",2,2.66666666666667
"R_1InQWd9AD3EZ1MH","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:14:51,2016-11-05 13:24:09,1,"29",1,1,1,37.052,63.944,174.68,2,"","If I was very full right now I would probably be a little miserable because if I get very full my stomach feels like it just can't take in any more matter, which can be a little unpleasant.  I probably would just suck it up though and act normal because tere is no point in being miserable because I might have eaten too much food, some people don't get any food.  Although I would probably be a little self conscious about myself because I had just eaten so much.",1,1,2,2,1,1,2,1,7,4,5,4,1,1,24,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q31|Q32|Q29|Q30|Q28","41.780395507812","-87.602699279785","-1",2,1.66666666666667
"R_2S1tPLlJFpH69YA","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:25:04,2016-11-05 13:32:58,1,"30",1,1,1,20.478,20.478,106.323,1,"My stomach is rumbling, and I'd be thinking about what I'd like to eat. Hopefully I wouldn't be acting any differently...I wouldn't like to be the hungry.","",1,4,3,3,3,3,3,1,5,6,7,7,1,1,55,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q30|Q31|Q27|Q29|Q28","41.780395507812","-87.602699279785","-1",1,3.33333333333333
"R_XjGZ0R68OHAEofL","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:33:58,2016-11-05 13:39:58,1,"31",1,1,1,14.7,14.7,77.833,1,"I would be extremely irritable and unable to focus.  I would focus solely on the need to find something to eat and worry about how long that would take.  I would become very short with those around me and slightly lightheaded.","",1,1,1,1,1,3,1,1,7,6,2,5,1,2,35,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q32|Q28|Q29|Q31|Q27","41.780395507812","-87.602699279785","-1",1,1
"R_2aJs7MGh1xPZtpQ","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:40:27,2016-11-05 13:47:43,1,"32",1,1,1,19.958,19.958,68.811,1,"","I would fell very uncomfortable, sluggish and tired. I would probably regret eating so much",1,4,3,1,3,1,3,1,5,8,5,5,1,2,38,1,1,NA,NA,NA,NA,NA,1,10,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q32|Q30|Q28|Q29|Q27","41.780395507812","-87.602699279785","-1",2,2.66666666666667
"R_2U9mi9YtuheoaAx","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:49:10,2016-11-05 13:55:00,1,"33",1,1,1,8.081,8.081,64.224,1,"weak, tired, anxious, crabby, sweaty","",1,4,4,4,4,4,3,1,6,3,2,6,1,1,39,1,NA,NA,NA,1,NA,NA,2,1,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q30|Q32|Q27|Q28|Q29","41.780395507812","-87.602699279785","-1",1,4
"R_3kbwqwDxGUNAMKJ","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:55:22,2016-11-05 13:59:09,1,"34",1,1,1,16.062,16.062,78.888,1,"","Satiated. Unable to perform strenuous exercise or even think about it. Kind of like I'm going to vomit. Tired. Really really tired. Basically unwilling to be around anyone.",1,1,2,1,1,2,1,1,5,6,3,6,1,2,29,1,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q32|Q30|Q27|Q28|Q31","41.780395507812","-87.602699279785","-1",2,1.33333333333333
"R_Wkum4hipejF6gJH","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 13:59:49,2016-11-05 14:03:48,1,"35",1,1,1,14.51,14.51,71.995,1,"","i would feel very heavy and immobile. I would just sit back and do nothnig, or perhaps watch or read something- basically being inactive. I wouldn't want to be mobile at all.",1,4,4,3,4,2,2,1,5,6,7,7,1,1,19,2,NA,1,NA,NA,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q28|Q30|Q29|Q32|Q27","41.780395507812","-87.602699279785","-1",2,3.66666666666667
"R_T7SAfNFkdCd2T0R","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 14:04:27,2016-11-05 14:09:15,1,"36",1,1,1,12.243,12.243,78.334,1,"Being hungry, I would definitely be thinking about the last time I ate. My body would feel empty and I would be tired, and it may be hard to concentrate on things around me. Food would be the principal thing on my mind.","",1,1,3,2,2,3,2,1,7,6,4,8,1,1,19,1,NA,NA,NA,1,NA,NA,3,3,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q28|Q32|Q29|Q27|Q30","41.780395507812","-87.602699279785","-1",1,2
"R_DubwAS1LnDAzXVf","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 14:11:48,2016-11-05 14:17:15,1,"37",1,1,1,7.81,7.81,129.114,1,"","I'm thinking I don't want anything else to eat; I'm completely satiated. I'm having some regret about eating too much food, and I know that I'll probably feel even more full in a little while. I didn't stop when I should have stopped eating. I have discomort in my stomach, probably a bloated, overfull feeling. I'll be lethargic, averse to any real physical activity until my food can be further digested and the pressure taken off my stomach. I am ashamed I overindulged and am considering consequences to myhealth.",1,1,1,1,2,1,2,1,6,5,4,6,1,1,35,1,NA,NA,NA,1,NA,NA,3,3,1,1,"Q22|Q27|Q24|F_n","Q35|Q30|Q29|Q28|Q32|Q27|Q31","41.780395507812","-87.602699279785","-1",2,1
"R_31je9fnIQuR0Stv","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 14:18:23,2016-11-05 14:28:32,1,"38",1,1,1,18.154,229.785,233.016,22,"I could be weak and possibly dizzy.  I would feel hunger pains.   I would make a plan on how to get nourishment and then execute that plan.   I would then open refrigerator door and grab some food to prepare.","",1,1,3,1,4,1,3,1,6,7,1,1,1,1,62,1,NA,NA,NA,1,NA,NA,2,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q30|Q31|Q28|Q27|Q29","41.780395507812","-87.602699279785","-1",1,1.66666666666667
"R_R3VcRfsm5bHHHmp","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 14:29:29,2016-11-05 14:34:20,1,"39",1,1,1,8.617,8.617,82.107,1,"","Stressed that I didn't stop eating sooner.  Thinking that my close will continue to be tight.  Probably sleepy. Thinking that I'll never be hungry again, but knowing that's not true.",1,1,4,1,1,1,1,1,6,5,4,6,1,2,55,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q31|Q27|Q30|Q29|Q28","41.780395507812","-87.602699279785","-1",2,2
"R_sXzOYcvybgPhCCt","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 14:36:49,2016-11-05 14:41:08,1,"40",1,1,1,2.782,2.782,136.558,1,"I feel very hungry right now.  I am thinking of chicken nuggests.   straight from mcdonalds,  my stomach is is turning a bit and i'm thinking of the color of those delicious nugz.   a twenty piece  sounds great but a 40 would be ideal. ... with a side of ries.   the juicy nugz have steam rolling off of them. and a cold busch light to wash them down with.   the crips taste of that beer compliments the nugz very well.","",1,2,3,2,4,4,4,1,5,5,3,8,1,1,31,1,NA,NA,NA,1,NA,NA,3,3,1,1,"Q22|Q27|Q24|h_n","Q35|Q27|Q28|Q31|Q29|Q30|Q32","41.780395507812","-87.602699279785","-1",1,2.33333333333333
"R_1DCNcEPieoSVoRT","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 14:41:48,2016-11-05 14:45:55,1,"41",1,1,1,2.955,2.955,74.038,1,"If I was very hungry, my body would feel empty. Stomach might be grumbling, or feel tight. I'd be cranky and feel thirsty","",1,3,2,2,2,1,3,1,7,4,4,7,1,2,54,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q28|Q31|Q27|Q29|Q30","41.780395507812","-87.602699279785","-1",1,2.33333333333333
"R_4UUuhdrf63KvSgh","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 14:51:27,2016-11-05 15:01:04,1,"42",1,1,1,10.634,239.134,262.25,2,"","Too funny...I really did just eat! I am full! I'm walking around trying to stay awake, I saw a man sleeping by the escalators, I'd like to sit and rest too!  I'm a little to embarrassed to do that. My stomach feels a bit distended, I don't really want to ay that close attention to very much, just browsing exhibits hoping to get a second wind.",1,2,2,2,2,4,4,1,5,7,1,1,1,2,50,1,NA,NA,NA,1,NA,NA,0,0,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q30|Q31|Q28|Q27|Q32","41.780395507812","-87.602699279785","-1",2,2
"R_216WVZyF0fz6gIu","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 15:01:20,2016-11-05 15:07:19,1,"43",1,1,1,3.173,3.173,78.413,1,"","Body would feel sluggish and bloated. Clothes wouldn't fit properly (I'd probably have loosened my belt or taken it off entirely). I'd be burping a lot and trying to get rid of the bloated feeling. I'd be tired and probably thirsty for water.",1,2,3,1,4,1,4,1,6,5,3,6,1,3,24,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q29|Q30|Q27|Q31|Q28","41.780395507812","-87.602699279785","-1",2,2
"R_XLKIxPtO0XV6xjP","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 15:08:11,2016-11-05 15:17:39,1,"44",1,1,1,23.214,196.446,339.924,6,"Thinking about food, specifically something grab and go.  Something, salty, spicy and sweet at the end for desert.  Something to quench my thirst also, as I am very thirsty right now. It should be cold, in a bottle with a cold sweat on its outside, a nicesoft drink or cold water.   I would be walking around to see where the closest food court or food place is or the closest water fountain. I would look at what everyone is eating once I get to the restaurant or food court and see what appeals to my eyes, wat has the nicest aroma, and what would be easy to eat fast as I am very hungry right now.  Once it enters my mouth, I will be happy, but most happy when the entire plate is gone.","",1,4,2,1,4,4,4,1,5,6,2,8,1,2,40,2,NA,1,NA,NA,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q29|Q31|Q27|Q30|Q28|Q32","41.780395507812","-87.602699279785","-1",1,2.33333333333333
"R_22WSRa6cr0dlZRC","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 15:18:36,2016-11-05 15:23:35,1,"45",1,1,1,7.585,7.585,64.329,1,"my stomach hrts icant concentrate
i try to get some food quicky
","",1,2,3,2,4,4,4,1,5,6,4,5,1,1,44,1,NA,1,NA,NA,NA,NA,1,1,1,1,"Q22|Q27|Q24|h_n","Q35|Q27|Q28|Q30|Q31|Q29|Q32","41.780395507812","-87.602699279785","-1",1,2.33333333333333
