"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q37","Q43","Q44","Q45","Q70","Q22","Q24_1","Q24_2","Q24_3","Q24_4","hungry","Q40","Q41_1","Q41_2","Q41_3","Q41_4","full","Q25","Q27","Q29","Q33","Q37.0","Q40.0","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q36","DO_BR_FL_47","DO_BL_nameperson","DO_BL_feelings","LocationLatitude","LocationLongitude","LocationAccuracy","condition","similarity"
"R_vBIs837aAt80EQV","Default Response Set","Anonymous","","","68.81.42.79","0",2017-05-08 12:36:06,2017-05-08 12:38:50,1,"84164459",1,1,1,NA,"John",1,8.817,8.817,72.912,1,"I would be focused on finding food to ease my hunger. I would feel weak from the lack of nourishment. I would feel rumbling in my stomach. I would want to eat as soon as possible.",NA,NA,NA,NA,NA,"",1,4,4,6,4,7,1,2,58,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q33|Q27|Q29|Q37","40.270095825195","-75.403999328613","-1",2,1
"R_URuWCgcHdkuskIp","Default Response Set","Anonymous","","","24.104.64.110","0",2017-05-08 12:35:52,2017-05-08 12:38:53,1,"83633740",1,1,NA,1,"Tim",NA,NA,NA,NA,NA,"",1,1.003,1.003,62.114,1,"My body would feel stretched out and fat.  I would feel like I could not move.  I would feel sluggish, lazy and disgusting.  I would feel regret.",1,2,1,7,8,2,1,1,35,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q29|Q33|Q27|Q37","42.065505981445","-72.627098083496","-1",1,2
"R_1dAFhl1uaVnwQUM","Default Response Set","Anonymous","","","71.241.236.16","0",2017-05-08 12:36:19,2017-05-08 12:38:56,1,"85817836",1,1,NA,1,"Boots",1,1.234,1.234,62.91,1,"I usually feel very weak and out of focus when I'm hungry. I can be irritable and short with people when I'm starved. Need to eat right now, everything else can wait.",NA,NA,NA,NA,NA,"",1,5,5,5,5,5,1,1,26,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q33|Q29|Q27|Q37","38.775894165039","-77.234397888184","-1",2,2
"R_3QLsbdMAHy4OiUu","Default Response Set","Anonymous","","","12.185.249.139","0",2017-05-08 12:36:31,2017-05-08 12:39:12,1,"86690515",1,1,NA,1,"Nick",1,3.259,3.259,71.887,1,"I would feel distracted in what I am doing and I would only be thinking about food and what I would want to eat. My stomach will probably grumble and I would feel irritable until I ate. I would also feel frustrated working on an empty stomach and I wouldnt be able to clear my mind until I an satisfied.",NA,NA,NA,NA,NA,"",1,2,2,5,5,3,1,1,24,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q29|Q27|Q33|Q37","32.918701171875","-96.114097595215","-1",2,2
"R_1FEtZ0yTw5rrpRr","Default Response Set","Anonymous","","","192.5.215.225","0",2017-05-08 12:36:28,2017-05-08 12:39:15,1,"80113295",1,1,NA,1,"Rachel",1,1.202,94.825,99.733,11,"Being hungry would mean that I would constantly be thinking about food. My body would shake from the feeling of hunger and I would not be able to fall asleep unless I can stop the shaking (by eating). If I was talking to anyone, I would always bring up th topic of food until I can actually eat.",NA,NA,NA,NA,NA,"",1,3,3,4,7,2,1,2,20,1,NA,1,NA,NA,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q29|Q27|Q33","38.835693359375","-77.337501525879","-1",2,2
"R_1isnh2CSLmow0Me","Default Response Set","Anonymous","","","70.113.3.107","0",2017-05-08 12:37:19,2017-05-08 12:39:40,1,"82115346",1,1,NA,1,"Charlotte",1,0.892,0.892,67.534,1,"I would be focused on what I was going to eat, and how I was going to acquire and prepare the food. I may feel a little weak, possibly a headache.",NA,NA,NA,NA,NA,"",1,2,2,5,3,8,1,1,44,1,NA,NA,NA,1,NA,1,1,"hungry","Q43|Q45|Q70","Q25|Q29|Q27|Q37|Q33","30.336807250977","-97.344596862793","-1",2,2
"R_1eykiGdSPyTsc9r","Default Response Set","Anonymous","","","71.90.221.194","0",2017-05-08 12:36:50,2017-05-08 12:39:48,1,"82909229",1,1,NA,1,"Kyle",NA,NA,NA,NA,NA,"",1,1.745,102.804,107.116,11,"I would feel lethargic. I would just want to lay down. I would probably feel a bit nauseous. I would be thinking why on earth did I eat so much.",1,5,5,5,5,5,1,1,31,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q27|Q33|Q29|Q37","34.009094238281","-84.008796691895","-1",1,2
"R_vwaUkrFLASvBla9","Default Response Set","Anonymous","","","50.136.141.48","0",2017-05-08 12:37:29,2017-05-08 12:39:50,1,"87124916",1,1,NA,1,"Mai",1,8.047,8.047,68.122,1,"I would be thinking about the most delicious foods I want to eat. My body would feel very tired and I would not be thinking of anything else but food. I would open the refrigerator and find food.",NA,NA,NA,NA,NA,"",1,5,4,5,3,3,1,1,27,2,NA,1,NA,NA,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q29|Q33|Q37|Q27","37.311996459961","-121.96600341797","-1",2,2
"R_2Egk4K7k51BARdT","Default Response Set","Anonymous","","","99.6.200.240","0",2017-05-08 12:37:35,2017-05-08 12:39:51,1,"85212947",1,1,1,NA,"shelby",NA,NA,NA,NA,NA,"",1,1.927,6.923,61.65,2,"i would feel alazy and probabaly sleepy. not want to move mch and just want to relax.",1,5,3,3,5,5,1,2,34,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q29|Q27|Q37","34.167495727539","-83.912002563477","-1",1,1
"R_1NEyqLBI2Q6hycw","Default Response Set","Anonymous","","","162.225.150.26","0",2017-05-08 12:37:38,2017-05-08 12:39:53,1,"84489355",1,1,1,NA,"Alfonso",NA,NA,NA,NA,NA,"",1,1.128,1.128,81.74,1,"My stomach is in pain, I am in agony. I am anxious. I am thinking about when my food will digest. I am complaining on social media about how much I ate.",1,5,5,5,4,6,1,1,22,1,NA,1,NA,NA,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q29|Q27|Q37","37.622802734375","-122.43640136719","-1",1,1
"R_232B73SN2gC6g2W","Default Response Set","Anonymous","","","65.129.221.184","0",2017-05-08 12:37:26,2017-05-08 12:39:54,1,"84610455",1,1,1,NA,"Ryan",1,11.804,11.804,74.048,1,"I would try to push it out of my mind but with each rumble of my stomach the thought would return. How soon can I eat again? What do I want to eat? How many hours since I have eaten? These thoughts keep running through my head as I try to figure out how te food will taste when I finally get to eat.",NA,NA,NA,NA,NA,"",1,4,4,4,6,6,1,1,40,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q29|Q37|Q27|Q33","32.221694946289","-110.92649841309","-1",2,1
"R_bkHX3nDEgylrx6x","Default Response Set","Anonymous","","","173.21.242.152","0",2017-05-08 12:36:39,2017-05-08 12:40:00,1,"84075378",1,1,1,NA,"ps",1,8.574,8.574,110.548,1,"Feeling hungry would start with my stomach growling and conscious awareness of hunger.  I would be thinking about when the last time I ate was and if I think I SHOULD be feeling this way.  The longer it continues, the less I would able to get it off my mid.  I would probably start having cravings for a certain kind of food and stop whatever I was doing to satisfy the hunger.",NA,NA,NA,NA,NA,"",1,3,6,7,5,6,1,1,42,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q33|Q29|Q27|Q37","41.632705688477","-93.737396240234","-1",2,1
"R_1lhmrUQdqKSZ6N4","Default Response Set","Anonymous","","","67.242.210.15","0",2017-05-08 12:37:29,2017-05-08 12:40:02,1,"80926583",1,1,NA,1,"Timm",NA,NA,NA,NA,NA,"",1,1.837,1.837,76.561,1,"I would be content and thinking about how I didn't want to eat any more food. I would probably also be pleased at how good the food I had just consumed was. My body would feel heavy and I may act lethargic. I would likely feel tired and possibly bloated.",1,5,5,5,3,4,1,2,30,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q29|Q27|Q37|Q33","42.856292724609","-77.025100708008","-1",1,2
"R_vjdgdzPH0BNM3EB","Default Response Set","Anonymous","","","71.49.185.64","0",2017-05-08 12:37:27,2017-05-08 12:40:02,1,"85236615",1,1,1,NA,"Kimberly",NA,NA,NA,NA,NA,"",1,3.303,3.303,64.671,1,"I hate being too full. It feels like your gut is about to pop. Like there is a boulder in your midsection that is taking up all the room.  You can feel it in your ribs.",1,2,4,7,7,9,1,2,34,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q27|Q29|Q37","36.075500488281","-79.074096679688","-1",1,1
"R_XMlb9fJpXEtB1Pb","Default Response Set","Anonymous","","","205.209.65.19","0",2017-05-08 12:37:38,2017-05-08 12:40:12,1,"86956002",1,1,1,NA,"ian",1,8.761,8.761,109.312,1,"i would be thinking about eating some tacos. i'd be hungry. i'd hve my tongue out. my belly would hurt",NA,NA,NA,NA,NA,"",1,7,7,8,7,7,1,2,30,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q29|Q37|Q27|Q33","45.722595214844","-68.795097351074","-1",2,1
"R_1dmi9kAIYYl50xl","Default Response Set","Anonymous","","","12.236.238.7","0",2017-05-08 12:37:56,2017-05-08 12:40:15,1,"83392598",1,1,NA,1,"vince",NA,NA,NA,NA,NA,"",1,0.675,0.675,92.59,1,"i would feel guilty for eating so much",1,7,6,6,5,3,1,2,25,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q27|Q29|Q33|Q37","28.634399414062","-81.622100830078","-1",1,2
"R_tE8NMRIK96fpjXj","Default Response Set","Anonymous","","","74.167.233.231","0",2017-05-08 12:37:51,2017-05-08 12:40:22,1,"88816044",1,1,NA,1,"Tamela",1,1.287,78.926,80.341,2,"My stomach cramps and hunger pains strike every few minutes. My throat is dry as well but water does nothing to absolve the aches. Its been long enough since my last meal that my blood sugar falls and i start to feel shaky. There is food to eat but the enrgy to make it is long gone.",NA,NA,NA,NA,NA,"",1,5,3,7,7,2,1,2,22,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q29|Q33|Q27|Q37","35.948806762695","-78.10009765625","-1",2,2
"R_1hZuaKppTwP4t1j","Default Response Set","Anonymous","","","67.158.18.207","0",2017-05-08 12:37:14,2017-05-08 12:40:28,1,"83691249",1,1,NA,1,"Jay",1,3.178,3.178,77.705,1,"If I was very hungry, My body would feel weak and shaky. I might be lightheaded. I would be thinking about eating whatever I can find and eat quickly. I would act crabby and maybe mean.",NA,NA,NA,NA,NA,"",1,6,7,7,5,3,1,2,36,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q29|Q33|Q27|Q37","44.120895385742","-103.19779968262","-1",2,2
"R_OcDJNsaYxz9tfLH","Default Response Set","Anonymous","","","23.119.116.186","0",2017-05-08 12:38:02,2017-05-08 12:40:28,1,"82777843",1,1,1,NA,"Rachel",NA,NA,NA,NA,NA,"",1,7.237,7.237,61.249,1,"I would feel regret for eating too much. I would feel tired and sluggish and bad about what I did, all the while happy I had a great meal. I would think about how to burn off the calories.",1,4,4,6,7,8,1,2,39,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q29|Q37|Q33|Q27","41.602493286133","-86.264297485352","-1",1,1
"R_2VF3B7EGwwK4jD3","Default Response Set","Anonymous","","","72.36.113.17","0",2017-05-08 12:37:46,2017-05-08 12:40:29,1,"84273815",1,1,1,NA,"John",NA,NA,NA,NA,NA,"",1,73.58,73.58,92.319,1,"I feel pressure in my stomach. A slight pain radiates downward. I feel bloated but would successfully suppress any signs of mild discomfort. I would think that this is a good feeling for someone who had not eaten for a day. I would not worry about gainingweight.",1,5,5,5,5,7,1,1,29,1,NA,1,NA,NA,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q37|Q27|Q29","40.109497070312","-88.212303161621","-1",1,1
"R_29ncJnOZcPxFJDV","Default Response Set","Anonymous","","","165.214.11.77","0",2017-05-08 12:36:39,2017-05-08 12:40:47,1,"87489794",1,1,1,NA,"Liam",NA,NA,NA,NA,NA,"",1,1.116,1.116,69.097,1,"I would think of how uncomfortable I feel from being too full. I would think of all the calories in the food that I just ate and the effect this would have on my body. Would I need to be exercising more to overcome this? I would probably feel like laying own and taking a nap instead of being up and about during the time right after eating.",1,4,7,5,4,7,1,1,25,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q27|Q29|Q33|Q37","36.165893554688","-86.784400939941","-1",1,1
"R_3MtjL7iPf7ZGFfg","Default Response Set","Anonymous","","","72.160.129.122","0",2017-05-08 12:37:24,2017-05-08 12:40:48,1,"85487728",1,1,NA,1,"Tanner",1,6.864,6.864,72.816,1,"I would be thinking of food.  My body would feel tired and weak.  My stomach would be growling.  I would be in a bad mood.  I would be able to function but I would not be a very pleasant person to be around.",NA,NA,NA,NA,NA,"",1,5,5,7,6,1,1,1,35,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q27|Q37|Q33|Q29","41.430801391602","-82.233703613281","-1",2,2
"R_1oEXUQThrDn7jIT","Default Response Set","Anonymous","","","72.209.160.203","0",2017-05-08 12:38:50,2017-05-08 12:40:52,1,"86971376",1,1,NA,1,"Hailey",1,0.901,53.829,86.646,2,"Food. Can't stop thinking about devouring a delicious steak. My body is ravenous for food, I would do anything and everything for food. I am consumed by the idea of eating anything to satisfy my never ending hunger.",NA,NA,NA,NA,NA,"",1,1,5,9,9,7,1,2,19,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q27|Q33|Q29","37.09309387207","-96.95580291748","-1",2,2
"R_Rq0T83IvsYXEHlv","Default Response Set","Anonymous","","","24.252.128.184","0",2017-05-08 12:39:22,2017-05-08 12:40:53,1,"87913365",1,1,NA,1,"Justin",NA,NA,NA,NA,NA,"",1,46.139,46.139,62.177,1,"I would feel energetic, but also slightly lethargic. Ready to work but also willing to relax. I would feel ready to do anything, including do nothing.",1,5,7,7,9,5,1,1,26,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q27|Q33|Q29|Q37","37.251998901367","-79.977203369141","-1",1,2
"R_31ypoQQAWej0zJe","Default Response Set","Anonymous","","","67.187.99.36","0",2017-05-08 12:37:31,2017-05-08 12:40:58,1,"81724772",1,1,1,NA,"Michael",1,2.266,13.066,70.987,13,"The first thing that comes to mind when I think about being hungry is stomach pains. It also makes me think about feeling weak. It's distressing depending on just how hungry you actually are.",NA,NA,NA,NA,NA,"",1,3,6,5,5,8,1,1,38,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q27|Q33|Q29|Q37","36.141494750977","-86.859901428223","-1",2,1
"R_31vf5YA3ezcVK1k","Default Response Set","Anonymous","","","66.87.80.69","0",2017-05-08 12:36:32,2017-05-08 12:41:00,1,"82552018",1,1,1,NA,"Tiffany",1,6.36,6.36,142.814,1,"My stomach would growl. I would be uncomfortable. I would constantly think about food. I would try and find something to eat. I would be thinking about my next meal.",NA,NA,NA,NA,NA,"",1,7,5,3,7,9,1,2,38,1,1,NA,NA,NA,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q37|Q29|Q27|Q33","39.153503417969","-77.075302124023","-1",2,1
"R_2f3RHB0IlQosziN","Default Response Set","Anonymous","","","68.33.30.98","0",2017-05-08 12:37:29,2017-05-08 12:41:00,1,"83635632",1,1,NA,1,"Dora",1,1.481,1.481,64.846,1,"I am having trouble focusing on anything else but my hunger. All I can think about is food. I would be thinking about the next time I am going to it. My body would feel empty; almost sick. I would act like a crazy person. I would feel like I am starving t death, even when I am not. I would remind myself not to get this hungry again.",NA,NA,NA,NA,NA,"",1,3,3,6,4,1,1,1,39,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q33|Q27|Q29","39.114807128906","-77.246200561523","-1",2,2
"R_zcHTSOIp7uOsnG9","Default Response Set","Anonymous","","","27.74.77.118","0",2017-05-08 12:38:30,2017-05-08 12:41:02,1,"84146941",1,1,1,NA,"luong",1,2.246,2.246,64.757,1,"I would be looking for something to eat, as much as I can, preferably something delicious that I want to eat, and I can eat a lot of, something with meat would be nice, very nice. My body would be craving food, lots of food and I would want the feeling ofdevouring delicious satisfied food",NA,NA,NA,NA,NA,"",1,4,4,6,5,6,1,1,31,2,NA,1,NA,NA,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q27|Q29|Q37|Q33","10.814193725586","106.64379882812","-1",2,1
"R_2ylJdno2e0k5o39","Default Response Set","Anonymous","","","128.194.176.65","0",2017-05-08 12:38:03,2017-05-08 12:41:09,1,"81596883",1,1,1,NA,"Collin",1,1.805,1.805,116.451,1,"I am feeling very distracted by my hunger. It is hard to focus on anything else except the sounds and feelings I am getting from my stomach. I may be able to distract myself for a short period of time, but I always come to back to how hungry I am and how  want to eat. Even thinking about how hungry I am makes me more hungry and I it is more imperative that I seek food.",NA,NA,NA,NA,NA,"",1,6,6,4,5,9,1,2,29,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q27|Q33|Q29|Q37","30.567001342773","-96.283699035645","-1",2,1
"R_1mz7l8p01r9GWZC","Default Response Set","Anonymous","","","98.0.43.86","0",2017-05-08 12:38:21,2017-05-08 12:41:11,1,"84025653",1,1,1,NA,"Veronica",NA,NA,NA,NA,NA,"",1,5.422,5.422,64.366,1,"I would feel very bloated, I'm a very skinny lady but when I eat too much I look pregnant and round and get really sleepy while im digesting.",1,8,2,5,5,9,1,2,25,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q27|Q29|Q37","43.593200683594","-70.23819732666","-1",1,1
"R_3m3OnMCS9xrtzOP","Default Response Set","Anonymous","","","173.94.78.34","0",2017-05-08 12:38:47,2017-05-08 12:41:12,1,"86361590",1,1,NA,1,"Toni",1,16.451,16.451,68.45,1,"I would be thinking about everything great that I could be eating. I would probably be acting very grumpy and not in a good mood. My temper would be very short.",NA,NA,NA,NA,NA,"",1,7,7,8,3,3,1,1,26,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q27|Q37|Q29|Q33","35.898696899414","-80.574096679688","-1",2,2
"R_3O9xRijLTE6xj0F","Default Response Set","Anonymous","","","72.218.119.26","0",2017-05-08 12:38:45,2017-05-08 12:41:13,1,"86142584",1,1,NA,1,"Erin",NA,NA,NA,NA,NA,"",1,3.658,3.658,69.11,1,"I feel so stuffed and uncomfortable.  Why did I overeat again?  Ughhh.  I should have stopped sooner, I should have said no to the seconds that were offered.  What can I do to make myself feel better.  I should go for a walk that would make me feel much btter.",1,8,7,8,2,3,1,2,38,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q33|Q29|Q37|Q27","36.888793945312","-76.305702209473","-1",1,2
"R_2WuI5LNJzvo7aM9","Default Response Set","Anonymous","","","107.178.34.226","0",2017-05-08 12:38:39,2017-05-08 12:41:17,1,"84691180",1,1,NA,1,"Joe",NA,NA,NA,NA,NA,"",1,6.22,75.418,75.704,4,"I would not be hungry if I was full",1,4,5,7,5,5,1,1,30,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q27|Q33|Q37|Q29","37.25390625","-122.06379699707","-1",1,2
"R_12EYGMYU9w7xPYp","Default Response Set","Anonymous","","","98.88.68.106","0",2017-05-08 12:38:42,2017-05-08 12:41:20,1,"88815329",1,1,1,NA,"Alex",1,1.863,1.863,67.209,1,"It is miserable being hungry, I mean really hungry, your stomach cramps and aches and you hear it grumbling, you can't think straight and all you do think about is how you can get food. You lose energy and stamina.",NA,NA,NA,NA,NA,"",1,1,5,5,3,9,1,2,47,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q29|Q33|Q27|Q37","32.579895019531","-84.833297729492","-1",2,1
"R_3Pt5yjvVjChQpBC","Default Response Set","Anonymous","","","68.143.110.197","0",2017-05-08 12:38:32,2017-05-08 12:41:21,1,"83700087",1,1,1,NA,"Swati",1,0.935,0.935,98.98,1,"I would be restless if I were hungry. I typically get angry if I am hungry but have no food. All I would be able to think is what could I get quickly without wasting too much time.",NA,NA,NA,NA,NA,"",1,3,2,8,8,9,1,2,37,1,NA,1,NA,NA,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q27|Q37|Q33|Q29","34.860107421875","-82.246398925781","-1",2,1
"R_2pKsQrmMuuXsnYd","Default Response Set","Anonymous","","","73.248.236.5","0",2017-05-08 12:38:25,2017-05-08 12:41:22,1,"83521183",1,1,NA,1,"Tom",1,0.965,24.432,104.268,4,"Being hungry is not a very nice feeling in the least. Your stomach hurts and all you can think about is getting something to eat. You feel tired or out of energy from not eating anything.",NA,NA,NA,NA,NA,"",1,4,4,5,6,2,1,1,29,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q27|Q29|Q37|Q33","39.599594116211","-74.368698120117","-1",2,2
