"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q13","Q86","Q85_1","Q85_2","Q85_3","Q85_4","Hot","Q84_1","Q84_2","Q84_3","Q84_4","hungry","Q83_1","Q83_2","Q83_3","Q83_4","full","Q82_1","Q82_2","Q82_3","Q82_4","cold","Q57","food1","food2","food3","food4","food5","fill1","fill2","fill3","fill4","fill5","Q42","Q44","Q46","Q48","Q50","Q73","thirsty","hungry.0","tired","Q51","Q42.0","Q35","Q41","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q35.0","DO_BR_FL_35","DO_BL_choices_food","LocationLatitude","LocationLongitude","LocationAccuracy","state","condition","pref_warmth","pref_food","filter_$"
"R_2zpAUOns0yQYcUB","Default Response Set","Anonymous","","","107.208.178.77","0",2015-12-04 12:29:47,2015-12-04 12:29:55,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_ZEnz2hqcg7jS7U5","Default Response Set","Anonymous","","","71.85.63.235","0",2015-12-04 12:33:14,2015-12-04 12:33:34,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_323IeqzPdhiI1Bv","Default Response Set","Anonymous","","","104.176.101.186","0",2015-12-04 12:27:02,2015-12-04 12:27:20,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_32Q666rwhkt2trs","Default Response Set","Anonymous","","","207.68.221.134","0",2015-12-04 12:38:22,2015-12-04 12:39:00,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_3qVk26E3rbzQpdA","Default Response Set","Anonymous","","","98.103.32.74","0",2015-12-04 12:26:26,2015-12-04 12:26:46,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_2frDpjX7rQkQpM4","Default Response Set","Anonymous","","","173.217.96.226","0",2015-12-04 12:27:11,2015-12-04 12:27:24,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_OeREi1HFtjNkTf3","Default Response Set","Anonymous","","","76.26.248.156","0",2015-12-04 12:44:43,2015-12-04 12:45:20,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_2Wupeyeu57ufBbw","Default Response Set","Anonymous","","","99.47.88.218","0",2015-12-04 12:27:33,2015-12-04 12:27:50,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_sHUPRkQwtfJBIHL","Default Response Set","Anonymous","","","76.236.14.160","0",2015-12-04 12:29:21,2015-12-04 12:29:33,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_1rcCuDWeKaEsCw7","Default Response Set","Anonymous","","","64.57.252.4","0",2015-12-04 12:49:31,2015-12-04 12:49:40,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_20MeHf9QvREGrZM","Default Response Set","Anonymous","","","24.8.142.116","0",2015-12-04 12:36:52,2015-12-04 12:37:07,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_10qnpyJih9grBLy","Default Response Set","Anonymous","","","73.204.67.134","0",2015-12-04 12:31:37,2015-12-04 12:31:52,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_1oha93EpbnoqAVb","Default Response Set","Anonymous","","","24.178.44.134","0",2015-12-04 12:35:03,2015-12-04 12:35:16,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_3qwVMarqOcrdqC8","Default Response Set","Anonymous","","","76.182.76.250","0",2015-12-04 13:20:20,2015-12-04 13:20:34,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_10Z4PY00qJTFunA","Default Response Set","Anonymous","","","216.246.148.52","0",2015-12-04 12:35:11,2015-12-04 12:35:21,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_pgxzs5i6GdD1co9","Default Response Set","Anonymous","","","68.195.18.173","0",2015-12-04 12:26:52,2015-12-04 12:27:14,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_cU35984p7UfwNKV","Default Response Set","Anonymous","","","67.160.180.163","0",2015-12-04 12:37:33,2015-12-04 12:37:51,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_1CKi7Xt7qFhbD4z","Default Response Set","Anonymous","","","104.230.77.23","0",2015-12-04 12:32:49,2015-12-04 12:38:47,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_2Vr23ETsuJAbWvS","Default Response Set","Anonymous","","","100.11.188.86","0",2015-12-04 12:39:55,2015-12-04 12:40:13,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_D8CHkOEgNmPPzMd","Default Response Set","Anonymous","","","174.243.73.151","0",2015-12-04 12:47:13,2015-12-04 12:49:31,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_1E9SCHYvWuTP41z","Default Response Set","Anonymous","","","108.235.246.66","0",2015-12-04 12:39:01,2015-12-04 12:44:04,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_soow4lVyKqeq2sN","Default Response Set","Anonymous","","","100.11.198.142","0",2015-12-04 12:41:50,2015-12-04 12:42:16,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_1IQ5QnXjZfa2Vkr","Default Response Set","Anonymous","","","69.207.92.101","0",2015-12-04 13:24:18,2015-12-04 13:24:32,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_0kZI2nxJHdnkajv","Default Response Set","Anonymous","","","73.230.44.177","0",2015-12-04 12:43:18,2015-12-04 12:43:28,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_3O9ch4pkzVnC4DD","Default Response Set","Anonymous","","","108.49.145.7","0",2015-12-04 12:44:31,2015-12-04 12:45:13,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_ZfwiiWMY3vki3YJ","Default Response Set","Anonymous","","","24.3.56.209","0",2015-12-04 12:50:50,2015-12-04 12:51:01,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_3j6dmKDoWt4foPv","Default Response Set","Anonymous","","","64.254.190.195","0",2015-12-04 12:43:06,2015-12-04 12:43:20,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_3p9fMWjByLH1BTB","Default Response Set","Anonymous","","","24.253.233.194","0",2015-12-04 12:51:28,2015-12-04 12:51:45,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_3MboyjUjvkFnDmq","Default Response Set","Anonymous","","","65.28.23.77","0",2015-12-04 12:52:28,2015-12-04 12:52:53,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_24GkopSMPz1vZmQ","Default Response Set","Anonymous","","","97.123.61.209","0",2015-12-04 13:08:09,2015-12-04 13:09:59,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_2t07nMy741Yzk0F","Default Response Set","Anonymous","","","72.184.131.147","0",2015-12-04 13:03:14,2015-12-04 13:03:56,0,"",1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","-1",NA,NA,NA,NA,NA
"R_3sjr474scG1264J","Default Response Set","Anonymous","","","74.5.216.133","0",2015-12-04 12:27:11,2015-12-04 12:29:19,1,"975846",1,1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",0.821,0.821,61.75,1,"I would be wishing to go back into my warm house, or be angry at myself for not thinking ahead and dressing myself for a situation such as this. I feel that I would also be very thirsty. I would huddle up with another person, provided one was with me.",1,5,3,1,6,2,7,9,5,9,9,4,3,7,6,7,1,7,4,9,6,1,7,5,1,1,24,1,NA,NA,NA,1,NA,NA,1,"cold","Q57|food4|food5|fill2|Q48|food3|Q44|fill4|fill3|fill1|Q50|food1|Q46|fill5|food2|Q42","36.239303588867","-82.062400817871","-1",1,2,5.4,3.4,0
"R_xDZQ4uES6s0aENz","Default Response Set","Anonymous","","","98.250.49.52","0",2015-12-04 12:26:31,2015-12-04 12:29:24,1,"949030",1,1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",1.63,1.63,73.369,1,"When i was outside snowmobiling. I felt shaky. I was so cold my face nose hands and feet almost felt numb. I tried to think of staying warm by the fireplace while the snow was hitting me in the face and i was speeding on the snowmobile. I knew I couldnt say out in the cold much longer so i full throttled it back to the house and went inside and sat on the heat vent to warm up.",1,9,1,1,9,6,9,9,5,9,9,9,7,9,9,9,1,6,5,8,4,1,9,9,1,2,27,1,NA,NA,NA,1,NA,NA,1,"cold","Q57|food1|Q44|fill2|food3|fill1|food5|Q48|fill4|Q42|food4|Q46|fill3|fill5|Q50|food2","42.91960144043","-83.649597167969","-1",1,2,8.6,5.2,0
"R_3EL2gnyZCWZl0gI","Default Response Set","Anonymous","","","24.227.98.210","0",2015-12-04 12:26:39,2015-12-04 12:29:53,1,"971442",1,1,1.416,1.416,74.09,1,"If I were very hot, I would be gross and sweaty, which I absolutely hate. I would be thirsty and feel dehydrated. I would want a large glass of water, and I would want to get in the shower and cool off in cold water as soon as possible. Being hot and sweay makes me feel very unclean. I would feel like a flower, wilting in the sun. My make up would smudge and melt on my face. I would want to get somewhere cooler as soon as possible.",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,2,1,1,1,1,2,1,1,9,8,1,1,1,2,3,1,7,1,6,7,1,8,9,1,2,27,1,NA,NA,NA,1,NA,NA,1,"Warmth","Q57|fill4|food1|Q48|fill5|fill2|food3|Q42|food4|food5|Q44|food2|fill1|Q46|fill3|Q50","30.606002807617","-86.176696777344","-1",1,1,1.6,1.2,0
"R_1IgTMosguPTgK1V","Default Response Set","Anonymous","","","66.55.144.251","0",2015-12-04 12:27:13,2015-12-04 12:30:17,1,"958877",1,1,4.551,4.551,93.613,1,"I would be all arrogant and cocky and a douchebag",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,4,5,4,4,6,7,6,1,6,7,5,4,8,4,4,1,5,4,3,4,1,5,6,1,1,25,1,NA,1,NA,NA,NA,NA,1,"Warmth","Q57|fill5|fill3|food4|fill2|Q48|Q50|food1|Q46|food3|fill1|fill4|food2|Q44|Q42|food5","40.416900634766","-74.25789642334","-1",1,1,5,4.6,0
"R_Qj295UH5lDrGWd3","Default Response Set","Anonymous","","","75.97.156.47","0",2015-12-04 12:27:31,2015-12-04 12:30:22,1,"945676",1,1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",4.498,65.082,67.357,2,"I would be shivering and desperately looking for a way to warm up. I would be thinking what I could do to get warmer. My body would feel slow and almost frozen. I would maybe try running or do some other exercise to try and get warmer. It feels like I am n ice cube and it's a very unpleasant feeling and I want to get rid of it as soon as possible.",1,8,8,8,8,8,5,8,5,2,1,9,8,8,8,9,1,5,6,3,2,1,8,8,1,1,35,1,NA,NA,NA,1,NA,NA,1,"cold","Q57|fill2|food1|fill1|Q42|food4|Q50|fill5|food3|food5|fill4|Q46|Q48|food2|Q44|fill3","41.202896118164","-75.902702331543","-1",1,2,8.4,8,0
"R_2EsCMCxfd715l3D","Default Response Set","Anonymous","","","64.139.251.36","0",2015-12-04 12:27:22,2015-12-04 12:30:36,1,"981161",1,1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",0.916,0.916,93.06,1,"I would be angry. I would try to run away. I would be very unhappy.",1,1,9,7,8,4,1,5,1,2,7,7,9,8,8,7,1,7,5,7,2,1,7,7,1,1,28,1,NA,NA,NA,1,NA,NA,1,"cold","Q57|fill5|food5|Q42|food2|Q48|Q44|fill1|Q50|food1|fill3|food3|fill2|food4|Q46|fill4","30.563201904297","-98.111198425293","-1",1,2,7.8,5.8,0
