"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q42","Q43","Q13","Q86","Q129_1","Q129_2","Q129_3","Q129_4","NP_H_1","NP_C_2","Q40","Q41","Q49","Q71","Q56","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","Q38","Q42.0","Q44","Q46","Q48","Q50","Q2","Q3","Q4","Q79","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q36","Q38.0","Q35","LocationLatitude","LocationLongitude","LocationAccuracy","A4_rev","A6_rev","A10_rev","warm_pref","condition","single_pix"
"R_4UyN8GtA8rL8h2R","Default Response Set","Anonymous","","","128.135.213.37","0",2015-01-26 15:34:24,2015-01-26 15:42:18,1,11,"29",1,1,0,0,30.012,0,NA,NA,1,NA,8,"I imagine burning, screaming and reaching desperately for the edges of the ledges to somehow get out.  I imagine having incredible pain, and then being numbed by it since I was completely burned and just being desperate to somehow escape it.",1,8,2,2,3,8,4,3,2,2,7,1,7,4,3,2,7,1,2,44,74,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,6,3,4,1,2
"R_3aSkpzuRcR7rL0h","Default Response Set","Anonymous","","","128.135.213.37","0",2015-01-26 15:43:10,2015-01-26 15:48:01,1,14,"29",1,1,0,0,30.033,0,NA,NA,1,NA,4,"Since the environment depicted in the photo involved lava and because almost every video game ever made incorporates lava in it, I imagined myself to be in a video game.  Specifically, I imagined myself to be on a mission with Samus Aran from Nintendo's Mtroid series.  I thought it to be hot, thrilling, exhilarating, dangerous, but still relaxing.",1,1,1,4,9,9,4,1,5,1,3,1,5,6,3,7,4,1,1,20,73,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",1,6,7,4.6,1,2
"R_0xmylAFHMq5zZwp","Default Response Set","Anonymous","","","128.135.213.72","0",2015-01-26 15:40:30,2015-01-26 15:53:22,1,12,"29",1,1,0,0,30.01,0,NA,1,NA,NA,9,"It would be very calming, quiet and peaceful. It would also probably be very cold.",1,5,2,5,2,1,1,9,1,5,1,1,5,7,9,7,3,1,2,18,70,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",8,9,9,6.4,2,3
"R_barJt2s7hRCJRqd","Default Response Set","Anonymous","","","128.135.213.72","0",2015-01-26 15:53:25,2015-01-26 15:57:30,1,15,"29",1,1,0,0,30.011,0,NA,1,NA,NA,6,"I imagined the cold on my cheeks while being bundled up. I had positive and even romantic feelings while imagining this environment.",1,2,9,7,3,7,1,2,2,2,2,1,8,3,3,3,7,1,2,20,70,1,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,9,8,6.6,2,3
"R_cFUeqLijYBkyb09","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-26 15:40:45,2015-01-26 16:00:00,1,13,"29",1,1,0,0,30.008,0,NA,NA,NA,1,4,"very cold",1,9,9,5,1,1,1,9,1,1,1,1,5,1,7,7,4,1,2,20,74,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,9,9,6.6,2,4
"R_00LosSP14TewZMN","Default Response Set","Anonymous","","","128.135.213.58","0",2015-01-26 16:37:20,2015-01-26 16:43:06,1,17,"28",1,1,4.771,4.771,30.001,1,NA,NA,NA,1,5,"I think it would be a very cool experience, as seeing the giant icebergs remind me of the movie Titanic and other similar ""epic"" feeling experiences. On the other hand, I also mentally felt very cold as I am familiar with how cold it must be in order to bild the ice up to that size.",1,3,9,3,3,9,1,1,8,7,1,1,3,8,5,5,5,1,1,22,45,2,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,9,9,7.2,2,4
"R_bPZvsOns1HHjOqV","Default Response Set","Anonymous","","","128.135.213.81","0",2015-01-26 16:37:40,2015-01-26 16:43:30,1,18,"28",1,1,0,0,30.017,0,NA,NA,1,NA,7,"I could feel my face getting so hot that I raised my arm to cover it. I could feel the uneven juts of rock pressed against my back as I tried to distance myself from the lava-pit. I could see myself daring to kick a loose stone to try and break the surfac or just see what would happen.",1,8,7,3,4,7,5,2,2,7,4,1,5,6,4,6,4,1,1,21,72,1,NA,NA,1,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",6,5,6,4.4,1,2
"R_0PL4H0duz3Gl7fL","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-26 16:36:55,2015-01-26 16:47:03,1,16,"28",1,1,0,0,30.006,0,1,NA,NA,NA,6,"It would be really hot and the humidity will be low. My throat will feel really dry and I'll attempt to swallow my own spit in order to satiate my thirst, each swallow being harder than the last. The air I breathe in through my nose burns and mostly contans dust, making my breathing shallow and forcing me to eat sand as I breathe through my mouth instead. My eyes are squinting while I try to shield them from the oncoming sand. My flesh feels raw from being scraped by the sand and burned from the constant eating of the sun. My shoes' soles are being slowly eroded while the rubber is melting onto the dry and hard ground. There is no shade in sight, and when there is, it is already occupied by native inhabitants. I take pleasure in the mixture of sweat and dst on my skin as it offers me some relief against the constant sun and beating wind. My fingernails have dirt underneath them, but any attempt to get it out only pushes it deeper. The sight of mountains in the distance offers me some hope that I will be ale to escape from this nightmare.",1,1,8,1,5,9,8,2,4,1,2,1,5,7,6,8,3,1,1,21,70,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",5,2,8,4,1,1
"R_8zRfqk24r8f0mKp","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-26 16:48:24,2015-01-26 16:52:50,1,19,"28",1,1,0,0,29.994,0,NA,1,NA,NA,8,"I imagined it'd be rather cold, and I wouldn't have the opportunity to necessarily sit down and experience the environment around me, but I'd like to stand on the bridge and view the forest for as long as I could feel comfortable; it's a beautiful image!",1,1,4,8,3,9,1,7,7,1,5,1,7,7,5,8,4,1,1,19,76,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,9,5,7.2,2,3
"R_4GWm6TNSv4WHGJL","Default Response Set","Anonymous","","","128.135.213.72","0",2015-01-26 17:22:46,2015-01-26 17:26:05,1,20,"28",1,1,0,0,30.003,0,NA,NA,NA,1,5,"Cold, overwhelming, lonely, scary",1,9,3,6,3,6,6,9,2,1,6,1,8,6,1,9,3,1,2,21,65,1,NA,1,NA,NA,1,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,4,4,4.6,2,4
"R_1ZYic0RbP5i3Cx7","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-27 13:45:01,2015-01-27 13:50:30,1,21,"31",1,1,0,0,30.009,0,1,NA,NA,NA,7,"It would be very hard to be in that environment. It is very arid and dry. I would need to find water and food asap. My main thoughts were to get to the hills/mountains in the background for shelter and safety at night",1,3,2,3,3,8,7,8,2,8,3,1,5,7,6,7,4,1,2,20,68,1,1,NA,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,3,7,4.4,1,1
"R_9twNPp0XL7FBTYp","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-27 14:39:52,2015-01-27 14:46:36,1,22,"30",1,1,0,0,30.001,0,NA,NA,1,NA,8,"I was standing on the precipice of the crater of the volcano, and the molten lava was swirling below me, at a rate much greater than its viscosity would scientifically allow. I could feel the heat creating beads of sweat on my face and everything behind m was pitch black and everything beyond the crater was pitch black, the only things in existence were me and the crater, and I felt a pulling sensation as if I were meant to fall in.",1,1,4,1,6,7,8,2,1,3,7,1,7,8,3,6,5,1,2,18,70,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",4,2,3,2.2,1,2
"R_4M9PLyksVwwH0GN","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-27 14:47:34,2015-01-27 14:52:41,1,23,"30",1,1,0,0,30.008,0,1,NA,NA,NA,7,"I imagined it would feel very hot and dry. The ground would be dusty and it would get in your eyes and nose and mouth. I imagined feeling very thirsty and tired.",1,9,1,1,8,1,9,8,1,1,8,1,6,9,1,7,3,1,2,18,68,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",2,1,2,1.4,1,1
"R_6X8L8FRsvxZlR6R","Default Response Set","Anonymous","","","128.135.213.45","0",2015-01-27 15:01:47,2015-01-27 15:08:37,1,24,"30",1,1,0,0,30.006,0,NA,NA,NA,1,7,"I imagined myself on a small boat, rocking slightly in the waves, passing under the huge ice ""tunnel"" and the changing light as the sun hit the ice crystals from different angles.  I imagined the cold, biting salt smell and the prick of little icy bits tht fell from above.  Mostly I pictured the enormity of this huge ice structure as it towered cold, silent, and unmoved above me.",1,3,9,4,3,6,1,8,8,2,1,1,4,4,6,2,8,1,1,29,78,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,9,9,7.4,2,4
"R_01ThA2iOYlKMDg9","Default Response Set","Anonymous","","","128.135.213.45","0",2015-01-27 15:39:09,2015-01-27 15:42:43,1,25,"30",1,1,0,0,30.031,0,NA,1,NA,NA,9,"seemed like a pleasant and calm winter day",1,2,5,5,8,1,8,9,5,2,8,1,5,6,5,6,8,1,1,30,70,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",2,2,2,3.2,2,3
"R_1zehbMVko7VYrkN","Default Response Set","Anonymous","","","128.135.213.59","0",2015-01-27 15:52:28,2015-01-27 16:00:57,1,26,"30",1,1,0,0,30,0,NA,1,NA,NA,8,"I imagined calming silence and the smell of clean, fresh air and how I would inhale deeply. I would probably kick a pile of snow and run my hands in the snow on the rails of the bridge. I would look over the bridge to see if the water underneath was froze or if there were any animals in it. I imagined snow periodically falling out of the trees. Also that I would be slightly nervous about a car coming around the bend. Overall, I imagined it being very peaceful and quiet.",1,8,8,8,4,4,4,8,1,3,6,1,4,7,6,7,5,1,2,18,65,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",6,6,4,5,2,3
"R_9LlsowAhrMLsXNH","Default Response Set","Anonymous","","","128.135.213.45","0",2015-01-27 16:05:17,2015-01-27 16:10:25,1,27,"30",1,1,0,0,30.007,0,NA,NA,1,NA,6,"I was standing next to the lava pool and throwing sticks and twigs into it while watching it swirl",1,2,5,2,2,8,1,8,1,2,2,1,4,5,6,6,5,1,1,19,68,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,9,8,5.6,1,2
"R_9KqLFp0vShup7St","Default Response Set","Anonymous","","","128.135.213.59","0",2015-01-27 16:17:23,2015-01-27 16:20:32,1,28,"30",1,1,0,0,30.001,0,NA,NA,NA,1,4,"I imagined I was on a boat, wearing a coat, moving under the iceberg",1,8,8,8,3,7,3,6,8,2,3,1,4,7,7,8,3,1,1,21,70,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,7,7,7.4,2,4
"R_5bDNSNXrcqAjUmF","Default Response Set","Anonymous","","","128.135.213.79","0",2015-01-27 17:42:37,2015-01-27 17:48:45,1,29,"28",1,1,0,0,29.989,0,1,NA,NA,NA,6,"My mouth would be parched, and my nose threatened by wind-scattered sand.  The arid air would blow heavily against my skin, as I looked upon the desolate mountain. Vultures would be cawing somewhere in the distance.",1,8,7,2,2,2,2,8,8,1,2,1,5,5,7,6,5,1,1,19,NA,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,8,8,6.8,1,1
"R_9uiVg9ZTiatGVJX","Default Response Set","Anonymous","","","128.135.213.47","0",2015-01-28 12:33:09,2015-01-28 12:39:09,1,30,"33",1,1,0,0,30.006,0,NA,NA,NA,1,6,"It would probably be very beautiful, but also very cold, and I hoped I was in a boat and not in the ocean itself. It would also be very calm and quiet too, adding to the serenity of the icy landscape.",1,2,9,3,3,7,2,9,3,3,1,1,4,3,2,3,7,1,1,18,68,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,8,9,6,2,4
"R_5cpgTUmcD4Wnkbz","Default Response Set","Anonymous","","","128.135.213.47","0",2015-01-28 13:19:57,2015-01-28 13:25:29,1,31,"34",1,1,0,0,30.013,0,NA,1,NA,NA,6,"I imagined it to be very cold, and I was by myself. For some reason, the vision didn't take place in Chicago. It reminded me of the woods that surround my neighborhood. I could see myself being in this environment during the winter. The snow is beautiful.",1,9,4,2,3,9,2,5,1,3,5,1,6,5,1,6,8,1,2,18,NA,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,8,5,4.6,2,3
"R_4ZxFMGeoBdjQNud","Default Response Set","Anonymous","","","128.135.213.79","0",2015-01-28 14:20:33,2015-01-28 14:26:52,1,32,"35",1,1,0,0,29.989,0,1,NA,NA,NA,7,"It would feel as if I were in an oven—hot and dry. Every now and then there would be a hot breeze. For every step I took, there would be the crunch of dry ground underneath by feet. The landscape would seem as if it went on forever.",1,6,3,4,3,7,5,7,2,2,1,1,6,6,4,6,4,1,1,19,70,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,5,9,5.4,1,1
"R_eEQ8Wc8o7sbIdet","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-28 15:00:18,2015-01-28 15:06:07,1,33,"35",1,1,19.976,19.976,30.009,1,NA,NA,1,NA,7,"I wouldn't necessarily be scared, but there would still be an exhilaration that comes from taking a risk.  The environment would be hot and don't imagine there would be very many other people around.",1,7,5,4,3,8,1,8,7,1,1,1,3,7,6,8,4,1,1,19,72,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",7,9,9,7.2,1,2
"R_d5AROD12lpQapMN","Default Response Set","Anonymous","","","128.135.213.79","0",2015-01-28 16:46:37,2015-01-28 16:52:26,1,34,"34",1,1,0,0,29.99,0,NA,NA,1,NA,7,"I imagined that I would be sweating uncontrollably due to the amount of hear being radiated. I would also be extremely stressed out, fearing that I would fall into the magma and would be clinging on for dear life to the edge in order to prevent this from appening. I would be extremely fearful of the situation  but also in awe of being able to see a sight that not many people would get to see.",1,8,1,1,6,8,6,9,2,2,5,1,7,9,6,8,4,1,1,19,70,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",4,4,5,3.2,1,2
"R_8IgHQcxRIeX6SOh","Default Response Set","Anonymous","","","128.135.213.59","0",2015-01-29 12:12:22,2015-01-29 12:20:17,1,35,"35",1,1,0,0,30.002,0,NA,NA,NA,1,7,"I would move closets to the natural heat  of the sun gently floating on my bed of sheep skins and flowers that remind of the aroma of a place thats always warm year round ,with cascading waterfalls .",1,1,9,9,1,1,9,9,9,9,1,1,7,4,1,2,9,1,1,54,64,1,1,NA,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,1,9,7.4,2,4
"R_1UsaAI9ooDh5HPT","Default Response Set","Anonymous","","","128.135.213.59","0",2015-01-29 15:36:06,2015-01-29 15:38:29,1,36,"35",1,1,NA,NA,NA,NA,NA,1,NA,NA,3,"photo didn't load",1,1,9,9,9,1,1,1,9,1,1,1,9,8,9,6,6,1,2,22,65,1,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",1,9,9,7.4,2,3
"R_6JQMi1X8sDhI0mx","Default Response Set","Anonymous","","","128.135.213.71","0",2015-01-29 16:08:39,2015-01-29 16:16:36,1,37,"36",1,1,0,0,30.009,0,1,NA,NA,NA,7,"I was there standing and listening to the wind. I actually could not here anything but the wind. It was very hot, extremely hot. The sun was burning my skin and my eyes. The ground was burning too. I would feel its heat through soles of my shoes. The air as very dry too. I left like thirsty too. with my mouth very dry.",1,7,2,4,6,1,6,2,5,8,NA,1,6,8,7,6,8,1,2,32,75,2,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",4,4,NA,4.25,1,1
"R_29z8llEdpcCeSlD","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 12:14:10,2015-01-30 12:18:23,1,38,"28",1,1,NA,NA,NA,NA,NA,1,NA,NA,7,"The environment seems peaceful, but cold (obviously). My first thought was ""Am I properly dressed for this?"" Being in the snow if I were to have a coat, gloves, hat, etc sounds delightful. The dim lighting of the scene seems calming.",1,3,8,7,3,3,3,7,3,7,4,1,6,6,2,6,3,1,2,19,78,2,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,7,6,6,2,3
"R_8A2OiKxxony1vFz","Default Response Set","Anonymous","","","128.135.213.34","0",2015-01-30 12:34:15,2015-01-30 12:37:58,1,40,"28",1,1,0,0,30.039,0,NA,NA,1,NA,6,"I think it would be uncomfortably hot, possibly lethally so if I wasn't wearing special protective gear. The air would be difficult to breathe and full of smoke. I would be sweating and very uncomfortable. I might die if I spent an extended amount of timein that environment.",1,5,1,1,5,8,7,3,3,3,1,1,5,5,2,5,7,1,1,20,80,1,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",5,3,9,4.2,1,2
"R_8H22v5ywqWZJ6mN","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 12:33:21,2015-01-30 12:39:17,1,39,"28",1,1,0,0,30.007,0,1,NA,NA,NA,6,"It would be very hot and arid",1,1,1,5,1,5,1,9,2,1,1,1,4,4,3,6,3,1,1,18,45,1,NA,NA,1,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,9,9,6.8,1,1
"R_5hgCHku0kWdr1PL","Default Response Set","Anonymous","","","128.135.213.68","0",2015-01-30 12:43:32,2015-01-30 13:02:20,1,41,"28",1,1,NA,NA,NA,NA,NA,NA,NA,1,5,"The surrounding was beautiful and very scenic. It would be cold as I would be high up in the mountains. I imagine I would be hiking or doing some form of adventurous activity and having a lot of fun!",1,2,5,8,5,2,1,2,1,7,1,1,3,4,5,3,8,1,2,20,75,1,NA,NA,NA,NA,1,NA,1,1,1,"41.780395507812","-87.602699279785","-1",5,9,9,6.4,2,4
"R_cSj3IIXCtcrEICN","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 13:05:53,2015-01-30 13:10:33,1,42,"28",1,1,0,0,30.005,0,NA,NA,1,NA,9,"I think that it would be amazing as well as terrifying. I would probably be in awe, like ""I am at the top of a volcano,"" lava is so close to me. I would also be very scared of falling into the lava.",1,9,2,1,1,6,1,1,5,1,6,1,8,5,1,7,7,1,2,20,74,1,1,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,4,5.6,1,2
"R_8xhtdlJiWW1qsT3","Default Response Set","Anonymous","","","128.135.213.37","0",2015-01-30 13:24:23,2015-01-30 13:28:54,1,43,"28",1,1,0,0,30.003,0,NA,NA,NA,1,5,"I would be traveling on a boat. I would be dressed in extremely warm clothing and I would probably be studying glaciers.",1,1,1,1,4,5,1,7,1,5,2,1,9,6,1,9,1,1,1,20,70,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",6,9,8,5,2,4
"R_bBkqrjY5oA2HQYB","Default Response Set","Anonymous","","","128.135.213.58","0",2015-01-30 13:42:42,2015-01-30 13:47:31,1,44,"28",1,1,0,0,30.016,0,NA,1,NA,NA,7,"I imagined that it would be quite cold yet beautiful. If there were no cars or any other people around, I would imagine it to be extremely quiet, with the sound of the stream possibly being audible. Also, I would assume the sun to be softly shining throug the branches of the trees and off the snow.",1,2,7,NA,8,2,2,8,2,3,5,1,6,3,7,7,4,1,1,19,77,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",2,8,5,4.25,2,3
"R_5d6UsDqwLRPSwK1","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 13:48:47,2015-01-30 13:59:51,1,45,"28",1,1,0,0,30.034,0,NA,1,NA,NA,9,"The sound would be minimal, having been dampened by the snow. The air would be cold and fresh, but not uncomfortable. I would be wearing my usual get up of a longer coat, gloves, hat, and scarf. I would have the scarf pulled up over my nose, but it would eep falling. I would walk to the center of the bridge and look down over the stream at the ice first and then out into the distance into the woods. I would lean on the railing and get snow on my sleeves that would make me colder, but I would do it anyway.I would stare out into the woods, feeling serene and at peace, potentially contemplating my day or week, but most likely just enjoying the sight. After that I would switch to the other side of the bridge and repeat. My arms would be getting colder from th railing. I would be able to see my breath, and maybe if I was lucky, a rabbit would appear at some point and hop along the edge of the stream. I'd watch him/her until he/she left, and then I'd continue down the path on my walk, having experienced the scee enough.",1,3,9,8,3,3,1,8,7,2,4,1,5,6,1,7,6,1,2,18,70,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,9,6,7.4,2,3
"R_eep06ZwuZ18zrOR","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 14:02:12,2015-01-30 14:08:06,1,47,"28",1,1,0,0,30.015,0,NA,NA,1,NA,6,"It would be hot and overwhelming to the senses. My skin would prickle due to the heat, and I would have to avert my eyes from the brightness of the lava, and due to the tears forming in my eyes. The smell would also be quite pungent from the molten rock. he air would be thick and it would be hard to breathe, drying out my throat and nose.",1,NA,3,2,6,5,6,5,3,3,6,1,6,7,6,7,4,1,1,18,72,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",4,4,4,3.4,1,2
"R_56zP4CyvvvEXuEl","Default Response Set","Anonymous","","","128.135.213.37","0",2015-01-30 14:31:59,2015-01-30 14:37:47,1,48,"28",1,1,0,0,30.014,0,NA,NA,NA,1,8,"There was a cold, biting wind but also fresh, slightly moist air that carried the tang of saltwater. I was bobbing slowly on an ice-float, with the cold seeping into my legs but also being calmed by the gentle rocking of the water. The sun was in my eyes s it reflected off the bright snow and yet it formed a glistening image on the underside of the ice as I floated under the bridge.",1,7,8,2,8,5,8,8,3,7,6,1,4,3,3,5,5,1,2,18,75,1,1,NA,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",2,2,4,2.6,2,4
